gate_mode,sampling_fps,frame_id,cls_pred,wall_ms,clip_ms,offload_ms,xfer_gate_ms,gate_comp_ms
gpu,1,120,0,44.53270323574543,7.377956062555313,0.0,0.0,36.644840613007545
gpu,1,150,0,48.64313453435898,7.295446470379829,0.0,0.0,40.816834196448326
gpu,1,180,0,49.7074481099844,7.3356591165065765,0.0,0.0,41.86698421835899
gpu,1,210,0,53.300606086850166,7.44289718568325,0.0,0.0,45.30017822980881
gpu,1,240,0,60.66841259598732,9.705031290650368,0.0,0.0,50.45328289270401
gpu,1,270,0,58.34956839680672,7.399206981062889,0.0,0.0,50.461383536458015
gpu,1,300,0,59.63501147925854,7.318885996937752,0.0,0.0,51.806168630719185
gpu,1,330,0,68.52740421891212,7.336784154176712,0.0,0.0,60.66489219665527
gpu,1,360,0,4652.08026766777,7.371218875050545,0.0,0.0,4644.176436588168
gpu,1,390,0,331.4545005559921,7.300486788153648,0.0,0.0,323.6531335860491
gpu,32,4,0,29.019569978117943,7.354855537414551,0.0,0.0,21.186113357543945
gpu,32,5,0,33.566489815711975,7.320990785956383,0.0,0.0,25.74787475168705
gpu,32,6,0,35.61190515756607,7.286807522177696,0.0,0.0,27.82951109111309
gpu,32,7,0,40.718747302889824,7.347164675593376,0.0,0.0,32.87794440984726
gpu,32,8,0,43.22117753326893,7.412340492010117,0.0,0.0,35.329608246684074
gpu,32,9,0,47.572141513228416,7.3972437530756,0.0,0.0,39.69644941389561
gpu,32,10,0,49.5245810598135,7.3188431560993195,0.0,0.0,41.7059063911438
gpu,32,11,0,55.53300492465496,7.345832884311676,0.0,0.0,47.71044664084911
gpu,32,12,0,56.48023076355457,7.329471409320831,0.0,0.0,48.651326447725296
gpu,32,13,0,60.39014458656311,7.278958335518837,0.0,0.0,52.614374086260796
gpu,64,4,0,28.975920751690865,7.268907502293587,0.0,0.0,21.21439203619957
gpu,64,5,0,33.5463210940361,7.315540686249733,0.0,0.0,25.731340050697327
gpu,64,6,0,35.6135368347168,7.398251444101334,0.0,0.0,27.74231880903244
gpu,64,7,0,40.685055777430534,7.414195686578751,0.0,0.0,32.789384946227074
gpu,64,8,0,43.090881779789925,7.299778982996941,0.0,0.0,35.295091569423676
gpu,64,9,0,47.320762649178505,7.279606536030769,0.0,0.0,39.54736143350601
gpu,64,10,0,49.32515695691109,7.288610562682152,0.0,0.0,41.533973067998886
gpu,64,11,0,55.33760413527489,7.292905822396278,0.0,0.0,47.54219204187393
gpu,64,12,0,56.410111486911774,7.3151495307683945,0.0,0.0,48.602188006043434
gpu,64,13,0,60.55903434753418,7.277447730302811,0.0,0.0,52.795300260186195
cpu,1,120,0,663.0814634263515,7.327999919652939,4.309508949518204,0.0,637.0323970913887
cpu,1,150,0,817.1014357358217,7.339715957641602,4.29118238389492,0.0,791.067324578762
cpu,1,180,0,897.0681671053171,7.316945120692253,4.314146935939789,0.0,870.0227588415146
cpu,1,210,0,949.1137322038412,7.294151932001114,4.341196268796921,0.0,919.9936371296644
cpu,1,240,0,1067.0133363455534,7.352696731686592,4.275338724255562,0.0,1038.0312744528055
cpu,1,270,0,1267.0827992260456,7.324798032641411,4.318451508879662,0.0,1240.030338987708
cpu,1,300,0,1346.0967037826777,7.3165372014045715,5.328800529241562,0.0,1318.0442079901695
cpu,1,330,0,1312.0898231863976,7.367309182882309,4.268834367394447,0.0,1283.0355931073427
cpu,1,360,0,1379.999976605177,7.321448996663094,6.180308759212494,0.0,1352.0326912403107
cpu,1,390,0,1700.0758666545153,7.325019687414169,4.309955984354019,0.0,1673.016270622611
cpu,32,4,0,544.0862849354744,7.363583892583847,5.216073244810104,0.0,514.0554457902908
cpu,32,5,0,1149.125849828124,7.343463599681854,5.773838609457016,0.0,1118.7194008380175
cpu,32,6,0,841.0521410405636,7.325539365410805,3.2871272414922714,0.0,815.0234911590815
cpu,32,7,0,931.0790486633778,7.3477886617183685,4.286071285605431,0.0,905.0429686903954
cpu,32,8,0,1073.0493050068617,7.382204756140709,8.206130936741829,0.0,1041.6401084512472
cpu,32,9,0,1241.0965729504824,7.343657314777374,3.290383145213127,0.0,1216.0428799688816
cpu,32,10,0,1315.0785602629185,7.6038166880607605,4.019564017653465,0.0,1290.0443319231272
cpu,32,11,0,1298.0803903192282,7.366379722952843,4.277070984244347,0.0,1272.0245867967606
cpu,32,12,0,1346.0731357336044,7.391056045889854,8.190004155039787,0.0,1317.0161042362452
cpu,32,13,0,1646.082365885377,7.288483902812004,4.346694797277451,0.0,1617.0305386185646
cpu,64,4,0,526.0839350521564,7.3511675000190735,8.235983550548553,0.0,496.9809614121914
cpu,64,5,0,677.0779062062502,7.382938638329506,4.2458996176719666,0.0,648.0361446738243
cpu,64,6,0,813.0730018019676,7.401688024401665,2.2352878004312515,0.0,788.034476339817
cpu,64,7,0,923.0712503194809,7.413953542709351,4.225356504321098,0.0,897.029809653759
cpu,64,8,0,1029.0713366121054,7.521709427237511,4.130225628614426,0.0,1003.0150078237057
cpu,64,9,0,1263.0737088620663,7.345115765929222,4.281839355826378,0.0,1238.0222659558058
cpu,64,10,0,1326.0717038065195,7.361335679888725,5.719495937228203,0.0,1299.0111149847507
cpu,64,11,0,1274.082563817501,7.464990019798279,2.1614283323287964,0.0,1250.0275410711765
cpu,64,12,0,1346.0740856826305,7.709799334406853,4.872173070907593,0.0,1317.0341793447733
cpu,64,13,0,1649.071490392089,7.373139262199402,8.217757567763329,0.0,1619.0305929630995
